Date,ANZ,r_ANZ,CBA,r_CBA,NAB,r_NAB,WBC,r_WBC,STW,r_STW,SPY,SPYnoNA,r_SPY,OZR,r_OZR,PR,AXEJ,r_AXEJ,CR_AU,XLE,XLEnoNA,r_XLE,KOL,KOLnoNA,r_KOL,r_CoalPTF,r_KOL_v2,CR_US,ARCH,ARCHnoNA,r_ARCH,ARLP,ARLPnoNA,r_ARLP,BTU,BTUnoNA,r_BTU,CEIX,CEIXnoNA,r_CEIX,HCC,HCCnoNA,r_HCC,CoalValue,r_CoalValue
12/04/2011,12.065793,,27.676962,,11.672629,,12.635677,,29.171349,,103.927864,103.927864,,9.048907,,,17201.07,,,49.247822,49.247822,,48.231998,48.231998,,,,,,,,13.832015,13.832015,,,,,,,,,,,13.832015,
13/04/2011,12.170885,0.867219993,27.861336,0.663955087,11.752638,0.683102661,12.821042,1.456340671,29.108711,-0.214955249,103.919937,103.919937,-0.007627697,8.989305,-0.660843956,-0.445888707,17096.32,-0.610835552,-0.395880302,49.449421,49.449421,0.408520591,49.049999,49.049999,1.68175059,1.130284431,1.68175059,1.307409287,,,,13.989243,13.989243,1.130284431,,,,,,,,,,13.989243,1.130284431
14/04/2011,12.015747,-1.282858462,27.745445,-0.416823868,11.765974,0.113408065,12.83134,0.080288845,29.096195,-0.043006685,103.998985,103.998985,0.076037335,8.958419,-0.344177685,-0.301171,17083.58,-0.07454674,-0.031540055,49.787582,49.787582,0.68152463,49.07,49.07,0.040768448,-4.492792676,0.040768448,0.156957967,,,,13.374645,13.374645,-4.492792676,,,,,,,,,,13.374645,-4.492792676
15/04/2011,11.81557,-1.679988631,27.50839,-0.858063352,11.641517,-1.063404641,12.769553,-0.482695037,28.895777,-0.691194974,104.378441,104.378441,0.364201081,8.958419,0,0.691194974,17023.86,-0.350187883,0.341007091,50.197277,50.197277,0.819518669,49.5,49.5,0.872481947,0.493016353,0.872481947,0.492391882,,,,13.440747,13.440747,0.493016353,,,,,,,,,,13.440747,0.493016353
18/04/2011,11.875618,0.506923744,27.6717,0.591918124,11.685964,0.381070325,12.846788,0.603015349,28.958416,0.216541002,103.208473,103.208473,-1.12721979,8.898092,-0.675688879,-0.892229881,16991.65,-0.189384252,-0.405925254,49.449421,49.449421,-1.5010433,48.43,48.43,-2.185321316,-1.540439354,-2.185321316,-0.852818121,,,,13.235287,13.235287,-1.540439354,,,,,,,,,,13.235287,-1.540439354
19/04/2011,11.710471,-1.400399184,27.397774,-0.994846107,11.557058,-1.109213093,12.656272,-1.494091643,28.551346,-1.415678954,103.801338,103.801338,0.572790843,8.717113,-2.054876661,-0.639197707,16652.61,-2.015508602,-0.599829648,49.950153,49.950153,1.007521895,48.280102,48.280102,-0.309994751,-0.826851681,-0.309994751,-0.487530601,,,,13.126302,13.126302,-0.826851681,,,,,,,,,,13.126302,-0.826851681
20/04/2011,11.93067,1.862899664,27.745445,1.260991336,11.770422,1.829344191,12.857081,1.574180758,28.94589,1.372414468,105.216385,105.216385,1.35401783,8.813638,1.101218943,-0.271195525,16899.62,1.472417557,0.100003089,51.127213,51.127213,2.329133134,49.389999,49.389999,2.27284454,2.074460803,2.27284454,0.935713288,,,,13.401446,13.401446,2.074460803,,,,,,,,,,13.401446,2.074460803
21/04/2011,12.065793,1.126202876,28.003561,0.925999808,11.908216,1.163880756,13.119685,2.021906393,29.284067,1.161535469,105.753929,105.753929,0.509593177,8.916191,1.15685429,-0.004681179,17170.11,1.587894494,0.426359025,51.36134,51.36134,0.456884989,50.299999,50.299999,1.825710292,1.940780706,1.825710292,0.905469524,,,,13.664079,13.664079,1.940780706,,,,,,,,,,13.664079,1.940780706
27/04/2011,12.040769,-0.207611595,27.956154,-0.16943264,11.908216,0,12.949769,-1.303582393,29.008516,-0.945413767,107.247993,107.247993,1.402887345,8.837766,-0.883470768,0.061942999,17088.8,-0.474680325,0.470733442,51.575935,51.575935,0.416943835,49.700001,49.700001,-1.2000104,2.057639265,-1.2000104,-2.117811474,,,,13.948149,13.948149,2.057639265,,,,,,,,,,13.948149,2.057639265
28/04/2011,12.170885,1.074831589,28.266953,1.105602954,12.046012,1.150506875,13.001256,0.396801803,29.002243,-0.021627023,107.595779,107.595779,0.323757399,8.77744,-0.68493364,-0.663306617,17015.74,-0.428448012,-0.406820989,51.56942,51.56942,-0.012632658,50.029999,50.029999,0.661785229,1.701843108,0.661785229,0.135702464,,,,14.187556,14.187556,1.701843108,,,,,,,,,,14.187556,1.701843108
29/04/2011,12.125847,-0.37073341,28.293289,0.093125492,12.037124,-0.073810989,12.790149,-1.637070293,28.689112,-1.085549386,107.84877,107.84877,0.234854971,8.596462,-2.083407011,-0.997857625,16592.07,-2.521392767,-1.435843381,52.336807,52.336807,1.477102912,51.02,51.02,1.95949072,3.647543152,1.95949072,1.579919407,,,,14.714607,14.714607,3.647543152,,,,,,,,,,14.714607,3.647543152
2/05/2011,12.160873,0.288437667,28.314369,0.074477559,12.121576,0.699146428,12.759254,-0.241845299,28.758009,0.23986244,107.682755,107.682755,-0.154051741,8.705049,1.255247889,1.015385449,16491.49,-0.60803801,-0.84790045,51.640968,51.640968,-1.338457931,50.849998,50.849998,-0.333762955,-2.184950929,-0.333762955,-0.481119707,,,,14.396587,14.396587,-2.184950929,,,,,,,,,,14.396587,-2.184950929
