Date,ANZ,CBA,NAB,WBC,STW,SPY,SPYnoNA,OZR,AXEJ,XLE,XLEnoNA,KOL,KOLnoNA,ARCH,ARCHnoNA,ARLP,ARLPnoNA,BTU,BTUnoNA,CEIX,CEIXnoNA,HCC,HCCnoNA,KOLPTF,PR,r_PR,r_OZR,r_STW,
12/04/2011,12.065793,27.676962,11.672629,12.635677,29.171349,103.927864,103.927864,9.048907,17201.07,49.247822,49.247822,48.231998,48.231998,,,13.832015,13.832015,,,,,,,13.832015,-20.122442,,,,
13/04/2011,12.170885,27.861336,11.752638,12.821042,29.108711,103.919937,103.919937,8.989305,17096.32,49.449421,49.449421,49.049999,49.049999,,,13.989243,13.989243,,,,,,,13.989243,-20.119406,-0.01508877,-0.660843956,-0.214955249,-0.445888707
14/04/2011,12.015747,27.745445,11.765974,12.83134,29.096195,103.998985,103.998985,8.958419,17083.58,49.787582,49.787582,49.07,49.07,,,13.374645,13.374645,,,,,,,13.374645,-20.137776,0.091263225,,,
15/04/2011,11.81557,27.50839,11.641517,12.769553,28.895777,104.378441,104.378441,8.958419,17023.86,50.197277,50.197277,49.5,49.5,,,13.440747,13.440747,,,,,,,13.440747,-19.937358,-1.000219592,,,
18/04/2011,11.875618,27.6717,11.685964,12.846788,28.958416,103.208473,103.208473,8.898092,16991.65,49.449421,49.449421,48.43,48.43,,,13.235287,13.235287,,,,,,,13.235287,-20.060324,0.614867569,,,
19/04/2011,11.710471,27.397774,11.557058,12.656272,28.551346,103.801338,103.801338,8.717113,16652.61,49.950153,49.950153,48.280102,48.280102,,,13.126302,13.126302,,,,,,,13.126302,-19.834233,-1.133454975,,,
20/04/2011,11.93067,27.745445,11.770422,12.857081,28.94589,105.216385,105.216385,8.813638,16899.62,51.127213,51.127213,49.389999,49.389999,,,13.401446,13.401446,,,,,,,13.401446,-20.132252,1.491372202,,,
21/04/2011,12.065793,28.003561,11.908216,13.119685,29.284067,105.753929,105.753929,8.916191,17170.11,51.36134,51.36134,50.299999,50.299999,,,13.664079,13.664079,,,,,,,13.664079,-20.367876,1.163584759,,,
27/04/2011,12.040769,27.956154,11.908216,12.949769,29.008516,107.247993,107.247993,8.837766,17088.8,51.575935,51.575935,49.700001,49.700001,,,13.948149,13.948149,,,,,,,13.948149,-20.17075,-0.97254186,,,
28/04/2011,12.170885,28.266953,12.046012,13.001256,29.002243,107.595779,107.595779,8.77744,17015.74,51.56942,51.56942,50.029999,50.029999,,,14.187556,14.187556,,,,,,,14.187556,-20.224803,0.267618727,,,
29/04/2011,12.125847,28.293289,12.037124,12.790149,28.689112,107.84877,107.84877,8.596462,16592.07,52.336807,52.336807,51.02,51.02,,,14.714607,14.714607,,,,,,,14.714607,-20.09265,-0.655564593,,,
2/05/2011,12.160873,28.314369,12.121576,12.759254,28.758009,107.682755,107.682755,8.705049,16491.49,51.640968,51.640968,50.849998,50.849998,,,14.396587,14.396587,,,,,,,14.396587,-20.05296,-0.197730277,,,
3/05/2011,11.910652,28.108923,12.023787,12.733509,28.520025,107.295387,107.295387,8.705049,16313.58,50.34684,50.34684,49.389999,49.389999,,,13.807007,13.807007,,,,,,,13.807007,-19.814976,-1.193875834,,,
4/05/2011,11.735497,27.745445,11.730416,12.41427,28.238205,106.583946,106.583946,8.427548,16164.29,49.455936,49.455936,48.25,48.25,,,13.539502,13.539502,,,,,,,13.539502,-19.810657,-0.021799021,,,
5/05/2011,11.805559,27.745445,12.006008,12.218605,28.325876,105.619537,105.619537,8.427548,16384.71,48.428429,48.428429,47.540001,47.540001,,,13.053302,13.053302,,,,,,,13.053302,-19.898328,0.441568287,,,
6/05/2011,11.630399,27.724371,12.348277,12.316439,28.269522,106.08593,106.08593,8.324996,16157.45,48.643044,48.643044,47.740002,47.740002,,,13.192481,13.192481,,,,,,,13.192481,-19.944526,0.231901162,,,
9/05/2011,11.705469,27.734911,12.374944,12.388527,28.350941,106.497002,106.497002,8.324996,16311.51,49.494953,49.494953,48.919998,48.919998,,,13.626265,13.626265,,,,,,,13.626265,-20.025945,0.407396313,,,
10/05/2011,11.545326,27.497854,12.286042,12.15167,28.138016,107.40609,107.40609,8.324996,16225.23,49.729042,49.729042,48.759998,48.759998,,,13.521431,13.521431,,,,,,,13.521431,-19.81302,-1.06893855,,,
11/05/2011,11.595372,27.666431,12.134912,12.280395,28.494987,106.27565,106.27565,8.481842,16502.43,48.291859,48.291859,47.57,47.57,,,13.038845,13.038845,,,,,,,13.038845,-20.013145,1.005001031,,,
12/05/2011,11.515585,27.234468,11.970449,12.156819,28.02528,106.781586,106.781586,8.125918,16057.93,48.220325,48.220325,47.290001,47.290001,,,12.79123,12.79123,,,,,,,12.79123,-19.899362,-0.570163674,,,
13/05/2011,11.556746,27.260805,11.952667,12.218605,28.119211,105.959473,105.959473,8.294832,16075.83,47.986229,47.986229,46.5,46.5,,,12.615903,12.615903,,,,,,,12.615903,-19.824379,-0.377522797,,,
16/05/2011,11.484706,27.118576,11.948221,12.080302,27.799831,105.287514,105.287514,8.204343,15758.55,47.622047,47.622047,46.369999,46.369999,,,12.483963,12.483963,,,,,,,12.483963,-19.595488,-1.161310729,,,
17/05/2011,11.572183,27.334555,11.961555,12.144137,27.9877,105.271698,105.271698,8.204343,15844.93,47.622047,47.622047,46.689999,46.689999,,,12.346598,12.346598,,,,,,,12.346598,-19.783357,0.954169303,,,
18/05/2011,11.675094,27.287144,11.970449,12.133496,28.069128,106.212418,106.212418,8.204343,15883.68,48.584511,48.584511,47.709999,47.709999,,,12.955702,12.955702,,,,,,,12.955702,-19.864785,0.410753747,,,
19/05/2011,11.82431,27.59268,12.179359,12.181371,28.432358,106.465385,106.465385,8.204343,16210.44,48.591003,48.591003,47.759998,47.759998,,,13.058726,13.058726,,,,,,,13.058726,-20.228015,1.811995861,,,
20/05/2011,11.726548,27.482044,12.18381,12.101582,28.313364,105.619537,105.619537,8.355158,16195.35,48.53249,48.53249,47.630001,47.630001,,,13.084034,13.084034,,,,,,,13.084034,-19.958206,-1.342813768,,,
23/05/2011,11.330345,27.086975,11.850432,11.739864,27.768513,104.394241,104.394241,8.204343,15883.67,47.778126,47.778126,46.369999,46.369999,,,12.747848,12.747848,,,,,,,12.747848,-19.56417,-1.994055502,,,
24/05/2011,11.217143,26.823586,11.774862,11.617517,27.662054,104.307266,104.307266,8.204343,15891.62,48.454441,48.454441,46.57,46.57,,,12.773153,12.773153,,,,,,,12.773153,-19.457711,-0.545638813,,,
25/05/2011,11.165689,26.344208,11.548169,11.553686,27.424067,104.655106,104.655106,8.204343,15949.4,49.273834,49.273834,47.240002,47.240002,,,12.892447,12.892447,,,,,,,12.892447,-19.219724,-1.230640054,,,
26/05/2011,11.356071,26.54965,11.623734,11.835613,27.868717,105.137352,105.137352,8.204343,16142.92,49.520939,49.520939,47.799999,47.799999,,,13.103913,13.103913,,,,,,,13.103913,-19.664374,2.287152877,,,
27/05/2011,11.314909,26.849922,11.721524,11.782417,27.931341,105.540512,105.540512,8.385323,16249.58,49.644501,49.644501,48.470001,48.470001,,,13.149102,13.149102,,,,,,,13.149102,-19.546018,-0.603698935,,,
30/05/2011,11.304617,26.496977,11.632625,11.633476,27.925077,#N/A,105.540512,8.397388,16266.68,#N/A,49.644501,#N/A,48.470001,,,#N/A,13.149102,,,,,,,13.149102,-19.527689,-0.093817571,,,
31/05/2011,11.386946,26.665548,11.770422,11.771777,28.250738,106.639282,106.639282,8.439614,16475.36,50.14526,50.14526,49.09,49.09,,,13.172594,13.172594,,,,,,,13.172594,-19.811124,1.441019101,,,
1/06/2011,11.320052,26.528587,11.588175,11.676033,28.131746,104.244072,104.244072,8.512007,16512.93,48.948681,48.948681,48.349998,48.349998,,,12.823761,12.823761,,,,,,,12.823761,-19.619739,-0.970744683,,,
2/06/2011,11.031908,26.022875,11.234344,11.410059,27.555592,104.133369,104.133369,8.282765,16154.26,48.929165,48.929165,47.950001,47.950001,,,12.69905,12.69905,,,,,,,12.69905,-19.272827,-1.783997491,,,
3/06/2011,10.995891,26.080818,11.174563,11.356867,27.467907,103.097824,103.097824,8.282765,16030.56,48.942177,48.942177,47.040001,47.040001,,,12.579756,12.579756,,,,,,,12.579756,-19.185142,-0.45600511,,,
6/06/2011,10.934143,26.170374,11.234344,11.356867,27.330126,102.006897,102.006897,8.174179,15929.34,47.836651,47.836651,46.669998,46.669998,,,12.487578,12.487578,,,,,,,12.487578,-19.155947,-0.152290957,,,
7/06/2011,10.975308,26.196705,11.238942,11.447296,27.330126,101.943687,101.943687,8.095757,15772.72,47.836651,47.836651,46.689999,46.689999,,,12.550836,12.550836,,,,,,,12.550836,-19.234369,0.408551516,,,
